X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,Y (output)
31,20,4,3,3,17.28,800,5350,7440,0.71,172.58,345.16,370,128
58,9.5,3,3,3,17.28,551,2950,4959,0.59,50.86,101.72,360,129
28,14,3.5,3,3,17.28,392,1875,4116,0.45,66.96,133.92,350,127
40,11.26279878,3,3,2.5,15,263.5,1250,2371.5,0.52,31.25,62.5,350,126
35,19,4,3,3,12.8,665,4300,7890,0.53,122.85,245.7,348,124
75,8,3,3,3,18.4,600,3000,5400,0.55,40,80,368,120
33,11.27087532,3,3,3,10.7,393,2125,3537,0.6,64.39,128.78,360,119
39,5,3,3,3,10.6,195,650,1755,0.37,16.66,33.33,380,115
46,7.6,3.5,3,3,12.6,349.6,2075,3915.52,0.52,45.1,90.2,390,112
52,11.25302658,3,3,3,14.5,387,1925,3483,0.55,37.01,74.03,400,110
30,11.25302658,3,3,3,10.1,310,1575,2790,0.56,52.5,105,430,119
45,9,3,2.5,3,12.5,405,1750,3075.5,0.57,38.88,77.77,400,123
19,12,3.5,3,3,8.1,228,1675,2394,0.69,88.15,176.3,450,112
30,11,3,3,3,10.0,330,1875,2970,0.63,62.5,125,430,114
18,8,3,2.5,3,6.9,144,750,1080,0.69,41.66,83.22,410,116
41,11.2,3,3,3,12.2,360.5,2200,3244.5,0.67,53.65,107.3,340,125
44,6,3,2.6,3,11.7,264,1250,2059.2,0.6,28.4,56.8,360,125
61,11.2,3.1,2.8,3,16.23,625,3500,5425,0.64,57.37,114.75,380,127
36,19,3.6,3.2,3,12.96,684,5400,7879.68,0.68,150,300,380,124
22,24,4,3.3,3,11.26,528,4400,6969.6,0.63,200,400,410,110
30,9,3.5,3,3,9.70,270,1700,2835,0.59,56.66,113.33,530,114
54,14,3.5,3,3,15.5,756,4050,7938,0.5,75,150,400,116
30,20,3.6,3.2,3,15.5,600,4700,6912,0.67,156.66,313.32,400,110
90,11.29,4.2,3.2,3,15.5,1815,12850,24393,0.52,142.77,285.55,300,124
51,11.20,3.2,3,3,15.5,702,3150,6739.2,0.46,61.76,123.52,370,133
35,11.21,3.6,3.2,3,15.5,490,2900,5644.8,0.51,75,150,460,106
61,11.22,3.6,3.2,3,15.5,774,4525,8916.48,0.5,74.18,148.36,390,130
40,11.22,3.6,3.2,3,15.5,532,3500,6128.64,0.57,87.5,175,380,126
38,11.22,3.6,3.2,3,15.5,805,5325,9273.6,0.57,140.13,280.26,370,124
25,11.21,3.8,3.3,3,15.5,674,5125,8451.96,0.59,205,410,450,121
54,11.20,3,2.5,3,15.5,472,2275,3540,0.64,42.12,84.25,620,119
21,11.19,3,3,2.8,15.5,95.5,425,859.5,0.49,20.23,40.47,600,111
43,11.18,3,2.8,2.8,15.5,233,700,1957.2,0.35,16.27,32.55,580,109
34,9,3,3,3,15.5,306,1561.11,2754,0.56,45.9,91.8,430,106
23,8,3.5,3,3,15.5,184,874.92,1932,0.45,38.04,76.08,400,116
20,15,3.6,3.2,3,9.0,300,1875,3456,0.54,93.75,187.5,450,110
16,11.28,2.5,2.5,2.8,7.0,64,150,400,0.37,9.41,18.82,240,125
131,11.20,3.2,2.8,3,30.2,826,2900,5465,0.53,22.13,44.27,590,106
33,11.21,3.8,3.2,3,10.8,714.78,5500,8691.72,0.63,166.66,166.66,510,110
27,11.22,3.5,3,3,9.5,202.5,1125,2126.25,0.52,41.66,83.32,510,100
87,11.21,3.6,3.2,3,21.6,1312.5,7600,15120,0.5,87.35,174.7,390,110
47,11.22,3.75,3.25,3,13.6,586,3450,7141.8,0.48,73.4,146.8,440,116
20,15,3.75,3.25,3,9.0,300,1800,3656.25,0.49,90,180,470,116
21,15,3.6,3.2,3,9.2,315,2150,3402,0.63,102.34,204.76,470,110
31,5,2.8,2.5,2.8,8.8,155,625,1085,0.57,20.16,40.32,410,119
58,11.28,3,3,3,15.7,506.9,2175,4562.1,0.47,37.5,75,470,125
33,11.20,3.6,3.2,3,10.8,685,4375,7891.2,0.55,132.57,265.14,430,122
53,11.21,3.5,3,3,14.7,782,5000,8211,0.6,94.34,188.68,480,112
43,11.22,3.6,3.2,3,12.8,628,3600,7234.56,0.49,83.72,167.44,380,116
53,11.21,3.6,3.2,3,14.8,1149.04,7225,13236.94,0.54,136.32,272.64,360,120
44,11.22,3.5,3,2.8,12.9,306,1700,3213,0.52,38.63,77.27,510,116
19,11.21,4,4,3,8.2,190,1109.22,2280,0.48,58.38,116.76,330,120
27,11.28,3.5,3,3,9.6,259.5,1275,2724.75,0.46,47.22,94.44,530,100
43,11.20,3,2.5,3,12.5,228.5,925,1713.75,0.53,21.51,43.02,430,110
38,8,3,2.5,3,10.9,304,1400,2280,0.61,36.84,73.68,370,124
14,11.28,3.5,3,3,6.96,132,750,1386,0.54,53.37,53.37,390,129
23,15,3.2,3,3,9.44,345,2275,3312,0.68,98.91,197.82,410,119
30,11.28,3.5,3,3,10.16,276,1600,2898,0.55,53.33,106.6,430,110
40,24.5,3.8,3,3,14.86,980,6700,11172,0.59,167.5,167.5,310,122
34,13.0,3.6,3.2,3,11.36,588,4275,6773.76,0.63,125.73,251.46,360,127
34,11.31,3.6,3.2,3,11.02,575,3825,6624,0.57,112.5,225,410,117
37,11.23,3,2.5,3,11.35,199,750,1492.5,0.5,20.27,40.54,450,100
23,12,3.2,3,3,8.84,276,1750,2649.6,0.66,76.08,152.16,350,100
36,6,3,3,3,10.20,216,1025,1944,0.52,28.47,56.94,420,110
36,11.30,3.6,3.2,3,11.42,513,3225,5910,0.53,89.58,179.16,150,119
19,12,4,3,3,8.20,228,1250,2736,0.45,65.78,131.56,330,125
34,11.3,3.2,2.5,3,13,220,1050,1737,0.6,30.88,30.88,350,121
54,9,3,3,3,14.4,486,2325,4374,0.53,43.05,86.1,200,116
21,25,4,3.5,3,14.4,525,3300,7350,0.44,157.14,314.28,340,135
23,20,3.6,3.2,3,14.4,460,3150,5299.2,0.59,136.95,273.9,380,100
20,20,3.6,3.2,3,14.4,400,2500,4608,0.54,125,250,300,120
53,15,3.6,3.2,3,14.4,795,4950,9158.4,0.54,93.39,186.78,400,106
45,11.4,3.5,3,3,14.4,426,2625,4473,0.58,58.33,116.66,280,128
24,8,3.5,3,3,16,192,1250,2016,0.62,52.08,104.16,230,131
9,5,2.8,2.5,3,17,45,125,315,0.39,13.88,13.88,235,131
18,18.5,3.6,3.2,3,9.3,333,2175,3836,0.56,120.84,241.68,360,128
59,11.35,3,3,3,15.9,593,2264,5337,0.42,38.88,77.76,370,120
40,11.27,3,3,3,12.1,354,1700,3186,0.53,42.5,85,360,116
47,11.28,3.25,2.75,3,13.46,375,2375,4048,0.58,50,100,380,123
14,11.29,3.6,3.2,3,7.02,380,2100,3064.32,0.68,150,300,395,118
25,11.28,3.5,3,3,9.16,238,1350,2499,0.54,54,54,280,122
